iter	Passed	Remaining
0	56	1133491
1	61	612097
2	65	433973
3	68	342713
4	72	289849
5	76	254613
6	80	228808
7	84	211513
8	88	196021
9	91	183739
10	95	173306
11	99	165282
12	103	158574
13	106	152746
14	110	147340
15	115	143667
16	118	139522
17	123	137021
18	126	133280
19	130	130462
20	133	127171
21	136	124365
22	140	121634
23	143	119367
24	147	117883
25	150	115845
26	153	113872
27	157	112201
28	160	110481
29	163	109122
30	167	107671
31	170	106245
32	173	105214
33	177	104207
34	181	103290
35	184	102389
36	187	101368
37	191	100689
38	196	100409
39	199	99625
40	203	98944
41	207	98401
42	210	97658
43	214	97068
44	217	96427
45	220	95817
46	224	95170
47	228	94930
48	231	94381
49	236	94213
50	239	93757
51	243	93270
52	246	92920
53	250	92402
54	253	91939
55	256	91420
56	259	90833
57	263	90505
58	266	90184
59	270	89854
60	273	89443
61	277	89235
62	281	88969
63	284	88624
64	287	88157
65	290	87773
66	294	87619
67	298	87392
68	301	87145
69	305	86875
70	309	86834
71	312	86595
72	316	86364
73	319	86101
74	322	85747
75	326	85638
76	330	85593
77	333	85304
78	337	85194
79	342	85193
80	345	85016
81	348	84755
82	352	84540
83	356	84460
84	360	84491
85	364	84362
86	367	84193
87	371	84039
88	375	84036
89	378	83801
90	381	83551
91	385	83319
92	388	83104
93	393	83233
94	396	83037
95	399	82820
96	402	82628
97	406	82561
98	410	82512
99	413	82330
100	417	82266
101	421	82143
102	427	82578
103	432	82753
104	435	82584
105	439	82410
106	443	82425
107	446	82281
108	450	82206
109	454	82146
110	458	82153
111	462	82091
112	466	82087
113	470	81996
114	473	81861
115	477	81844
116	481	81775
117	484	81571
118	487	81471
119	491	81500
120	495	81383
121	498	81266
122	502	81168
123	505	81085
124	510	81090
125	513	81028
126	517	81001
127	521	81028
128	525	80914
129	528	80805
130	532	80772
131	539	81238
132	543	81205
133	548	81251
134	551	81186
135	555	81129
136	559	81109
137	562	80986
138	566	80905
139	570	80893
140	573	80803
141	577	80727
142	581	80681
143	584	80578
144	588	80538
145	591	80487
146	595	80428
147	599	80350
148	603	80394
149	607	80343
150	610	80293
151	614	80188
152	618	80255
153	622	80181
154	625	80121
155	629	80058
156	633	80015
157	637	80017
158	641	80047
159	644	79944
160	647	79821
161	652	79875
162	655	79825
163	659	79727
164	662	79627
165	666	79585
166	669	79488
167	672	79422
168	676	79398
169	680	79336
170	684	79364
171	688	79339
172	691	79306
173	696	79362
